Habitat,ScientificName,CommonName,Points,Height,sun,water,fire,disturbance,michigander
CONIFEROUS,Abies balsamea,balsam fir,3,90,1,0,0,0,1
CONIFEROUS,Abies concolor,white fir,1,195,1,0,0,0,1
CONIFEROUS,Abies magnifica,red fir,10,251,1,0,0,0,0
CONIFEROUS,Juniperus virginiana,Eastern redcedar,4,89,1,0,0,0,1
CONIFEROUS,Juniperus scopularis,Rocky Mountain juniper,5,49,1,0,1,0,1
CONIFEROUS,Larix laricina,tamarack,9,95,1,1,0,0,1
CONIFEROUS,Picea abies,Norway spruce,3,100,1,0,0,0,1
CONIFEROUS,Picea englemannii,Englemann spruce,3,213,0,0,1,0,1
CONIFEROUS,Picea glauca,white spruce,3,180,1,0,0,0,1
CONIFEROUS,Picea mariana,black spruce,1,100,1,1,0,0,1
CONIFEROUS,Picea pungens,blue spruce,5,75,1,0,0,0,1
CONIFEROUS,Pinus banksiana,jack pine,7,100,1,0,1,0,1
CONIFEROUS,Pinus contorta,lodgepole pine,5,160,1,0,1,0,0
CONIFEROUS,Pinus lambertiana,sugar pine,7,274,1,0,1,0,0
CONIFEROUS,Pinus monticola,Western white pine,6,230,1,0,1,0,0
CONIFEROUS,Pinus nigra,black pine,3,180,1,0,0,0,1
CONIFEROUS,Pinus ponderosa,ponderosa pine,3,268,1,0,1,0,1
CONIFEROUS,Pinus monophylla,pinyon pine,8,20,2,0,0,0,1
CONIFEROUS,Pinus resinosa,red pine,2,143,1,0,0,0,1
CONIFEROUS,Pinus strobus,Eastern white pine,8,210,1,0,0,0,1
CONIFEROUS,Pinus sylvestris,Scots pine,5,148,1,0,0,0,1
CONIFEROUS,Pseudotsuga menziesii,Douglas-fir,2,327,1,0,0,0,1
CONIFEROUS,Sequoia sempervirens,redwood,10,380,1,1,1,1,0
CONIFEROUS,Sequoiadendron giganteum,giant sequoia,9,316,1,1,1,0,0
CONIFEROUS,Thuja occidentalis,Northern white-cedar,8,49,1,1,0,0,1
CONIFEROUS,Tsuga canadensis,Eastern hemlock,5,160,1,0,0,0,1
DECIDUOUS,Acer negundo,boxelder,0,70,0,0,0,1,1
DECIDUOUS,Acer nigrum,black maple,6,100,1,0,0,0,1
DECIDUOUS,Acer rubrum,red maple,6,135,1,0,0,0,1
DECIDUOUS,Acer saccharinum,silver maple,6,115,1,1,0,0,1
DECIDUOUS,Acer saccharum,sugar maple,6,150,1,0,0,0,1
DECIDUOUS,Arbutus menziesii,madrone,10,98,1,1,0,0,0
DECIDUOUS,Betula alleghaniensis,yellow birch,2,100,1,1,0,0,1
DECIDUOUS,Carpinus caroliniana,musclewood,3,40,0,1,0,0,1
DECIDUOUS,Carya cordiformis,bitternut hickory,4,60,1,1,0,0,1
DECIDUOUS,Carya glabra,pignut hickory,4,100,1,1,0,0,1
DECIDUOUS,Carya ovata,shagbark hickory,4,90,1,1,0,0,1
DECIDUOUS,Castanea dentata,American chestnut,10,100,1,1,0,0,1
DECIDUOUS,Cornus alternifolia,alternate-leaved dogwood,1,25,1,0,0,0,1
DECIDUOUS,Cornus florida,flowering dogwood,5,30,1,0,0,0,1
DECIDUOUS,Fagus grandifolia,American beech,4,120,1,1,0,0,1
DECIDUOUS,Fraxinus americana,white ash,1,80,1,0,0,0,1
DECIDUOUS,Fraxinus nigra,black ash,1,60,0,1,0,0,1
DECIDUOUS,Fraxinus quadrangulata,blue ash,2,75,0,1,0,0,1
DECIDUOUS,Juglans nigra,black walnut,9,150,1,0,0,0,1
DECIDUOUS,Liriodendron tulipifera,tuliptree,10,90,1,1,0,0,1
DECIDUOUS,Ostrya virginiana,ironwood,4,30,1,0,0,0,1
DECIDUOUS,Platanus occidentalis,sycamore,3,175,0,1,0,0,1
DECIDUOUS,Populus alba,white poplar,5,100,1,1,0,0,1
DECIDUOUS,Populus deltoides,Eastern cottonwood,5,195,1,1,1,0,1
DECIDUOUS,Populus grandidentata,bigtooth aspen,5,80,1,1,1,0,1
DECIDUOUS,Populus tremuloides,quaking aspen,5,80,1,1,1,0,1
DECIDUOUS,Prunus serotina,black cherry,9,45,1,0,0,0,1
DECIDUOUS,Quercus alba,white oak,7,80,1,1,0,0,1
DECIDUOUS,Quercus bicolor,swamp white oak,7,100,1,1,0,0,1
DECIDUOUS,Quercus coccinea,scarlet oak,8,100,1,1,0,0,1
DECIDUOUS,Quercus ellipsoidalis,Northern pin oak,8,65,1,1,0,0,1
DECIDUOUS,Quercus imbricaria,shingle oak,7,67,1,1,0,0,1
DECIDUOUS,Quercus kelloggii,California black oak,8,118,1,0,1,0,0
DECIDUOUS,Quercus macrocarpa,bur oak,8,160,1,1,0,0,1
DECIDUOUS,Quercus muehlenbergii,chinkapin oak,7,100,1,1,0,0,1
DECIDUOUS,Quercus palustris,pin oak,8,70,1,1,0,0,1
DECIDUOUS,Quercus rubra,Northern red oak,7,70,1,1,0,0,1
DECIDUOUS,Quercus velutina,black oak,7,60,1,1,0,0,1
DECIDUOUS,Salix amygdaloides,peachleaf willow,3,70,0,1,0,0,1
DECIDUOUS,Sassafras albidum,sassafras,9,98,1,1,0,0,1
DECIDUOUS,Tilia americana,American basswood,9,130,1,0,0,0,1
URBAN,Acer platanoides,Norway maple,2,60,1,0,0,1,1
URBAN,Aesculus glabra,Ohio buckeye,5,40,1,0,0,0,1
URBAN,Ailanthus altissima,tree-of-heaven,1,70,0,0,0,1,1
URBAN,Archontophoenix alexandrae,king palm,0,30,0,0,0,1,0
URBAN,Catalpa speciosa,Northern catalpa,5,100,1,0,0,0,1
URBAN,Celtis occidentalis,Northern hackberry,9,130,1,1,0,0,1
URBAN,Ceratonia siliqua,carob,5,50,1,0,0,0,0
URBAN,Cercis canadensis,redbud,4,30,1,0,0,1,1
URBAN,Crataegus sp.,hawthorn,6,30,1,0,0,0,1
URBAN,Cupaniopsis anacardioides,carrotwood,7,35,1,0,0,0,0
URBAN,Cupressus sempervirens,cypress,2,115,1,0,0,0,0
URBAN,Erythrina crista-galli,coral,7,30,1,0,0,0,0
URBAN,Eucalyptus,Eucalyptus,0,329,0,0,1,1,0
URBAN,Ginkgo biloba,ginkgo,10,50,1,0,0,0,1
URBAN,Gleditsia triacanthos,honey locust,6,140,1,0,0,0,1
URBAN,Gymnocladus dioicus,Kentucky coffeetree,9,75,1,1,0,0,1
URBAN,Jacaranda mimosifolia,jacaranda,10,40,1,0,0,0,0
URBAN,Liquidambar styraciflua,sweetgum,4,150,1,0,0,0,1
URBAN,Malus pumila,apple,4,25,1,0,0,0,1
URBAN,Morus alba,white mulberry,3,50,1,0,0,1,1
URBAN,Nyssa sylvatica,blackgum,9,50,1,0,0,0,1
URBAN,Persea americana,avocado,8,60,1,0,0,0,0
URBAN,Phoenix dactylifera,date palm,1,80,0,0,0,1,0
URBAN,Platanus x acerifolia,London planetree,3,85,1,0,0,0,1
URBAN,Robinia pseudoacacia,black locust,2,171,0,0,0,1,1
URBAN,Syagrus romanzoffiana,queen palm,0,50,0,0,0,1,0
URBAN,Ulmus americana,American elm,8,130,0,1,0,0,1
URBAN,Washingtonia filifera,California fan palm,0,100,0,0,0,1,0
URBAN,Washingtonia robusta,Mexican fan palm,0,100,0,0,0,1,0
